COUNTRY,LT_MONTH,TOTAL_USERS
AR,2018-02-01,9.0
AR,2018-03-01,80.0
AR,2018-04-01,188.0
AR,2018-05-01,353.0
AR,2018-06-01,446.0
AR,2018-07-01,672.0
AR,2018-08-01,1089.0
AR,2018-09-01,1322.0
AR,2018-10-01,1789.0
AR,2018-11-01,1888.0
AR,2018-12-01,1632.0
AR,2019-01-01,1610.0
AR,2019-02-01,1912.0
AR,2019-03-01,2141.0
AR,2019-04-01,2515.0
AR,2019-05-01,3245.0
AR,2019-06-01,3357.0
AR,2019-07-01,3453.0
AR,2019-08-01,4070.0
AR,2019-09-01,4190.0
AR,2019-10-01,4358.0
AR,2019-11-01,4249.0
AR,2019-12-01,3925.0
AR,2020-01-01,3511.0
AR,2020-02-01,3853.0
AR,2020-03-01,3787.0
AR,2020-04-01,4427.0
AR,2020-05-01,4886.0
AR,2020-06-01,4879.0
AR,2020-07-01,6482.0
AR,2020-08-01,7089.0
AR,2020-09-01,6933.0
AR,2020-10-01,7145.0
AR,2020-11-01,7043.0
AR,2020-12-01,6358.0
AR,2021-01-01,6092.0
AR,2021-02-01,6284.0
AR,2021-03-01,7139.0
AR,2021-04-01,7218.0
AR,2021-05-01,7536.0
AR,2021-06-01,7592.0
AR,2021-07-01,7022.0
AR,2021-08-01,6709.0
AR,2021-09-01,6723.0
AR,2021-10-01,6173.0
AR,2021-11-01,5464.0
AR,2021-12-01,5628.0
AR,2022-01-01,5674.0
AR,2022-02-01,5432.0
AR,2022-03-01,5492.0
AR,2022-04-01,5625.0
AR,2022-05-01,5742.0
AR,2022-06-01,5363.0
AR,2022-07-01,5795.0
AR,2022-08-01,5762.0
AR,2022-09-01,6038.0
AR,2022-10-01,6307.0
AR,2022-11-01,6607.0
AR,2022-12-01,6578.0
AR,2023-01-01,6185.0
AR,2023-02-01,6541.0
AR,2023-03-01,7067.0
AR,2023-04-01,6857.0
AR,2023-05-01,6798.0
AR,2023-06-01,6691.0
AR,2023-07-01,6729.0
AR,2023-08-01,6429.0
AR,2023-09-01,6368.0
AR,2023-10-01,6169.0
AR,2023-11-01,6051.0
AR,2023-12-01,5846.0
AR,2024-01-01,5093.0
AR,2024-02-01,5552.0
AR,2024-03-01,6093.0
AR,2024-04-01,5809.0
AR,2024-05-01,5829.0
AR,2024-06-01,5828.0
AR,2024-07-01,5902.0
AR,2024-08-01,5888.0
AR,2024-09-01,5810.0
AR,2024-10-01,6162.0
AR,2024-11-01,6486.0
AR,2024-12-01,6410.0
AR,2025-01-01,6153.0
AR,2025-02-01,6622.0
AR,2025-03-01,7014.0
AR,2025-04-01,6980.0
AR,2025-05-01,7364.0
AR,2025-06-01,7475.0
AR,2025-07-01,7854.0
AR,2025-08-01,8197.0
AR,2025-09-01,7873.0
AR,2025-10-01,8092.0
AR,2025-11-01,8430.0
AR,2025-12-01,8451.0
AR,2026-01-01,7769.0
AR,2026-02-01,7986.0
AR,2026-03-01,8396.0
AR,2026-04-01,8770.0
AR,2026-05-01,9467.0
AR,2026-06-01,9132.09166137965
AR,2026-07-01,9740.167437294058
AR,2026-08-01,9976.712976360503
AR,2026-09-01,9676.790981662694
AR,2026-10-01,10305.895945347616
AR,2026-11-01,10041.197163723415
AR,2026-12-01,10355.735883060244
AR,2027-01-01,10756.64155131081
AR,2027-02-01,9658.84460641854
AR,2027-03-01,10668.20201398534
AR,2027-04-01,10629.319778124798
AR,2027-05-01,11143.159370460957
AR,2027-06-01,10755.81737419506
AR,2027-07-01,11377.627557504167
AR,2027-08-01,11347.827079374609
AR,2027-09-01,11006.529027446024
AR,2027-10-01,11724.406790251705
